amphibious landing,military action,group action,event,psychological feature
breach of trust with fraudulent intent,larceny,felony,crime,transgression
naked option,option,derivative instrument,legal document,document
covered option,option,derivative instrument,legal document,document
incentive option,option,derivative instrument,legal document,document
shopping,buying,purchase,acquisition,acquiring
mail-order buying,buying,purchase,acquisition,acquiring
viatication,buying,purchase,acquisition,acquiring
musical performance,performing arts,humanistic discipline,discipline,knowledge domain
force out,putout,out,failure,nonaccomplishment
fielder's choice,putout,out,failure,nonaccomplishment
base hit,hit,feat,accomplishment,action
corner kick,free kick,place kick,kick,blow
bust-up takeover,leveraged buyout,buyout,acquisition,acquiring
Russian roulette,stunt,feat,accomplishment,action
hairweaving,hair care,care,work,activity
mycophagy,eating,consumption,bodily process,organic process
child abuse,maltreatment,mistreatment,practice,activity
child neglect,maltreatment,mistreatment,practice,activity
persecution,maltreatment,mistreatment,practice,activity
cruelty,maltreatment,mistreatment,practice,activity
dancing,performing arts,humanistic discipline,discipline,knowledge domain
acrobatics,gymnastics,sport,diversion,activity
acrobatic stunt,stunt,feat,accomplishment,action
jumping,track and field,sport,diversion,activity
cross-country skiing,skiing,sport,diversion,activity
ski jumping,skiing,sport,diversion,activity
swimming,water sport,sport,diversion,activity
surfing,water sport,sport,diversion,activity
water-skiing,water sport,sport,diversion,activity
sculling,rowing,sport,diversion,activity
boxing,contact sport,sport,diversion,activity
tobogganing,sledding,sport,diversion,activity
bobsledding,sledding,sport,diversion,activity
ice skating,skating,sport,diversion,activity
roller skating,skating,sport,diversion,activity
skateboarding,skating,sport,diversion,activity
speed skating,skating,sport,diversion,activity
auto racing,racing,sport,diversion,activity
boat racing,racing,sport,diversion,activity
camel racing,racing,sport,diversion,activity
greyhound racing,racing,sport,diversion,activity
horse racing,racing,sport,diversion,activity
equestrian sport,riding,sport,diversion,activity
pony-trekking,riding,sport,diversion,activity
bicycling,cycling,sport,diversion,activity
motorcycling,cycling,sport,diversion,activity
dune cycling,cycling,sport,diversion,activity
bullfighting,blood sport,sport,diversion,activity
cockfighting,blood sport,sport,diversion,activity
fishing,outdoor sport,sport,diversion,activity
ice hockey,athletic game,sport,diversion,activity
tetherball,athletic game,sport,diversion,activity
water polo,athletic game,sport,diversion,activity
outdoor game,athletic game,sport,diversion,activity
court game,athletic game,sport,diversion,activity
dummy whist,whist,card game,game,activity
hearts,whist,card game,game,activity
seven-up,all fours,card game,game,activity
anagrams,word game,parlor game,game,activity
backgammon,board game,parlor game,game,activity
checkers,board game,parlor game,game,activity
Chinese checkers,board game,parlor game,game,activity
darts,board game,parlor game,game,activity
halma,board game,parlor game,game,activity
lotto,board game,parlor game,game,activity
ludo,board game,parlor game,game,activity
Mah-Jongg,board game,parlor game,game,activity
pachisi,board game,parlor game,game,activity
shovel board,board game,parlor game,game,activity
snakes and ladders,board game,parlor game,game,activity
ticktacktoe,board game,parlor game,game,activity
hotfoot,practical joke,antic,diversion,activity
snipe hunt,practical joke,antic,diversion,activity
dog show,show,entertainment,diversion,activity
horseshow,show,entertainment,diversion,activity
ice show,show,entertainment,diversion,activity
road show,show,entertainment,diversion,activity
Wild West Show,show,entertainment,diversion,activity
acting,performing arts,humanistic discipline,discipline,knowledge domain
doddle,cinch,undertaking,work,activity
advisory service,consulting service,service,work,activity
attestation service,consulting service,service,work,activity
costing,cost accounting,accountancy,occupation,activity
single entry,bookkeeping,accountancy,occupation,activity
double entry,bookkeeping,accountancy,occupation,activity
first in first out,inventory accounting,accountancy,occupation,activity
last in first out,inventory accounting,accountancy,occupation,activity
incline bench press,bench press,weightlift,bodybuilding,exercise
reproductive cloning,cloning,biological research,scientific research,research
therapeutic cloning,somatic cell nuclear transplantation,biological research,scientific research,research
embryonic stem-cell research,stem-cell research,biological research,scientific research,research
electron spin resonance,microwave spectroscopy,spectroscopy,chemical analysis,analysis
medical care,treatment,care,work,activity
massage,treatment,care,work,activity
detoxification,treatment,care,work,activity
laying on of hands,faith healing,care,work,activity
chiropractic,treatment,care,work,activity
naturopathy,treatment,care,work,activity
naprapathy,treatment,care,work,activity
