amphibious landing,franc,monetary unit,unit of measurement,definite quantity
breach of trust with fraudulent intent,dye,coloring material,material,substance
naked option,oleaster,shrub,woody plant,vascular plant
covered option,grass,gramineous plant,herb,vascular plant
incentive option,worker,person,organism,living thing
shopping,subshrub,shrub,woody plant,vascular plant
mail-order buying,bowling pin,bowling equipment,game equipment,equipment
viatication,wood,plant material,material,substance
musical performance,privet,shrub,woody plant,vascular plant
force out,larva,animal,organism,living thing
fielder's choice,medical building,building,structure,artifact
base hit,summer squash,squash,vine,vascular plant
corner kick,writing paper,paper,material,substance
bust-up takeover,forceps,extractor,instrument,device
Russian roulette,leaf,plant organ,plant part,natural object
hairweaving,otitis,inflammation,symptom,evidence
mycophagy,African,person,organism,living thing
child abuse,Zairese monetary unit,monetary unit,unit of measurement,definite quantity
child neglect,insanity,mental illness,psychological state,condition
persecution,swindle,fraud,crime,transgression
cruelty,Hindu calendar month,calendar month,time period,fundamental quantity
dancing,worker,person,organism,living thing
acrobatics,wax,lipid,macromolecule,molecule
acrobatic stunt,data rate,rate,magnitude relation,relation
jumping,inaptitude,inability,cognition,psychological feature
cross-country skiing,timepiece,measuring instrument,instrument,device
ski jumping,hallucination,delusion,psychological state,condition
swimming,fire,happening,event,psychological feature
surfing,mariposa,liliaceous plant,bulbous plant,vascular plant
water-skiing,regional anesthesia,anesthesia,physical condition,condition
sculling,bacteria,microorganism,organism,living thing
boxing,female internal reproductive organ,reproductive organ,organ,body part
tobogganing,Revolutionary calendar month,calendar month,time period,fundamental quantity
bobsledding,enzyme,catalyst,activator,substance
ice skating,fire,happening,event,psychological feature
roller skating,topping,garnish,decoration,artifact
skateboarding,spar,mineral,material,substance
speed skating,flower,angiosperm,spermatophyte,vascular plant
auto racing,Islamic calendar month,calendar month,time period,fundamental quantity
boat racing,coward,person,organism,living thing
camel racing,spectacles,optical instrument,instrument,device
greyhound racing,intellectual,person,organism,living thing
horse racing,Semitic,Afroasiatic,natural language,language
equestrian sport,worker,person,organism,living thing
pony-trekking,nonattendance,group action,event,psychological feature
bicycling,Tunisian monetary unit,monetary unit,unit of measurement,definite quantity
motorcycling,expert,person,organism,living thing
dune cycling,marriage,marital status,legal status,status
bullfighting,worker,person,organism,living thing
cockfighting,cocaine,hard drug,controlled substance,drug
fishing,commoner,person,organism,living thing
ice hockey,Georgian monetary unit,monetary unit,unit of measurement,definite quantity
tetherball,bullfighter,person,organism,living thing
water polo,Yemeni monetary unit,monetary unit,unit of measurement,definite quantity
outdoor game,flower,angiosperm,spermatophyte,vascular plant
court game,natural childbirth,childbirth,parturition,organic process
dummy whist,worker,person,organism,living thing
hearts,wildflower,angiosperm,spermatophyte,vascular plant
seven-up,executive department,federal department,government department,department
anagrams,mental disorder,disorder,physical condition,condition
backgammon,root,plant organ,plant part,natural object
checkers,microwave spectroscopy,spectroscopy,chemical analysis,analysis
Chinese checkers,alliaceous plant,liliaceous plant,bulbous plant,vascular plant
darts,institution,organization,social group,group
halma,tablet,slab,block,artifact
lotto,stinkhorn,fungus,organism,living thing
ludo,bryophyte,nonvascular organism,organism,living thing
Mah-Jongg,camellia,shrub,woody plant,vascular plant
pachisi,Penutian,Amerind,natural language,language
shovel board,whisper,speaking,utterance,auditory communication
snakes and ladders,party,organization,social group,group
ticktacktoe,explosive,chemical,material,substance
hotfoot,engineer,person,organism,living thing
snipe hunt,beverage,liquid,fluid,substance
dog show,energy,physical phenomenon,natural phenomenon,phenomenon
horseshow,combatant,person,organism,living thing
ice show,leaf,plant organ,plant part,natural object
road show,enzyme,catalyst,activator,substance
Wild West Show,angiospermous tree,tree,woody plant,vascular plant
acting,intellectual,person,organism,living thing
doddle,reproductive structure,plant organ,plant part,natural object
advisory service,endocrine gland,gland,organ,body part
attestation service,earthstar,fungus,organism,living thing
costing,rich person,person,organism,living thing
single entry,word,language unit,part,relation
double entry,drink,helping,small indefinite quantity,indefinite quantity
first in first out,dicot,angiosperm,spermatophyte,vascular plant
last in first out,tulip,liliaceous plant,bulbous plant,vascular plant
incline bench press,franc,monetary unit,unit of measurement,definite quantity
reproductive cloning,flower,angiosperm,spermatophyte,vascular plant
therapeutic cloning,executive department,federal department,government department,department
embryonic stem-cell research,court order,writ,legal document,document
electron spin resonance,Kenyan monetary unit,monetary unit,unit of measurement,definite quantity
medical care,leaf,plant organ,plant part,natural object
massage,hawthorn,shrub,woody plant,vascular plant
detoxification,expert,person,organism,living thing
laying on of hands,resistance unit,electromagnetic unit,unit of measurement,definite quantity
